,Longitude,Latitude,Code,Metro,Cluster,Region
1548,-82.52610016,42.9131012,PHN,PHN,12,L
1549,-82.52100372,27.84860039,MCF,TPA,13,Florida
1550,-82.51280212,40.81999969,MFD,MFD,12,L
1551,-82.44809723,27.91810036,TPF,TPA,13,Florida
1552,-82.4332962,27.06669998,VNC,VNC,13,Florida
1553,-82.41670227,32.21670151,VDI,VDI,13,M
1554,-82.40640259,36.47610092,TRI,TRI,14,N
1555,-82.39559937,31.24920082,AYS,AYS,13,M
1556,-82.38330078,34.84999847,GMU,GSP,13,M
1557,-82.37670135,34.75830078,GDC,GSP,13,M
1558,-82.36669922,28.2166996,KYO,TPA,13,Florida
1559,-82.27580261,29.68969917,GNV,GNV,13,Florida
1560,-82.26670074,26.86669922,RTD,RTD,13,Florida
1561,-82.23100281,39.21080017,ATO,ATO,14,N
1562,-82.22689819,29.17560005,OCF,OCF,13,Florida
1563,-82.21389771,34.89889908,GSP,GSP,13,M
1564,-82.1832962,28.23329926,ZPH,ZPH,13,Florida
1565,-82.17749786,41.34420013,UXT,UXT,14,N
1566,-82.15830231,34.25139999,GRD,GRD,13,M
1567,-82.03330231,36.68610001,VJI,VJI,14,N
1568,-82.01670074,39.93330002,ZZV,ZZV,14,N
1569,-82.01470184,27.98889923,LAL,LAL,13,Florida
1570,-81.99140167,26.9192009,PGD,PGD,13,Florida
1571,-81.96669769,33.46670151,DNL,AGS,13,M
1572,-81.96440125,33.36920166,AGS,AGS,13,M
1573,-81.95780182,34.91640091,SPA,GSP,13,M
1574,-81.88690186,40.87469864,BJJ,BJJ,14,N
1575,-81.86219788,26.58690071,FMY,FMY,13,Florida
1576,-81.84999847,30.31669998,NEN,NEN,13,Florida
1577,-81.84940338,41.41080093,CLE,CLE,14,N
1578,-81.83329773,27.89999962,BOW,BOW,13,Florida
1579,-81.8167038,28.83329964,LEE,LEE,13,Florida
1580,-81.77529907,26.15279961,APF,APF,13,Florida
1581,-81.75969696,24.55559921,EYW,EYW,13,Florida
1582,-81.75499725,26.53610039,RSW,FMY,13,Florida
1583,-81.75,28.06669998,GIF,GIF,13,Florida
1584,-81.73560333,32.49029922,TBR,TBR,13,M
1585,-81.72389984,25.94440079,MRK,MRK,13,Florida
1586,-81.69439697,28.65859985,CLW,TPA,13,Florida
1587,-81.68920135,24.57530022,NQX,EYW,13,Florida
1588,-81.68779755,30.48469925,JAX,JAX,13,Florida
1589,-81.68470001,33.65000153,AIK,AIK,13,M
1590,-81.6832962,41.51689911,BKL,CLE,14,N
1591,-81.6753006,30.23419952,NIP,JAX,13,Florida
1592,-81.66670227,30.5,CRG,JAX,13,Florida
1593,-81.65000153,30.33329964,VQQ,JAX,13,Florida
1594,-81.61669922,34.71670151,USC,USC,13,M
1595,-81.61139679,35.82080078,MRN,MRN,13,M
1596,-81.59999847,31.85000038,LIY,LIY,13,M
1597,-81.5931015,38.37279892,CRW,CRW,14,N
1598,-81.52690125,27.59250069,AVO,AVO,13,Florida
1599,-81.48670197,41.56529999,CGF,CLE,14,N
1600,-81.47609711,31.25060081,NEA,NEA,13,M
1601,-81.46779633,41.04000092,AKC,CAK,14,N
1602,-81.46640015,31.25889969,BQK,SSI,13,M
1603,-81.44999695,40.5,PHD,PHD,14,N
1604,-81.4417038,40.91389847,CAK,CAK,14,N
1605,-81.43890381,39.34560013,PKB,PKB,14,N
1606,-81.42389679,30.39170074,NRB,NRB,13,Florida
1607,-81.41670227,27.5,SEF,SEF,13,Florida
1608,-81.41670227,41.63330078,LNN,LNN,14,N
1609,-81.41660309,26.41659927,IMM,IMM,13,Florida
1610,-81.39029694,31.1522007,SSI,SSI,13,M
1611,-81.38999939,35.74060059,HKY,HKY,13,M
1612,-81.38330078,33.25,BNL,BNL,13,M
1613,-81.33560181,28.5442009,ORL,ORL,13,Florida
1614,-81.33329773,28.45000076,ISM,ISM,13,Florida
1615,-81.33329773,29.95000076,UST,UST,13,Florida
1616,-81.3246994,28.43169975,MCO,ORL,13,Florida
1617,-81.24030304,28.77499962,SFB,SFB,13,Florida
1618,-81.21669769,41.73329926,PVZ,PVZ,14,N
1619,-81.20809937,37.29579926,BLF,BLF,14,N
1620,-81.20249939,32.12749863,SAV,SAV,13,M
1621,-81.16079712,35.48360062,RQF,RQF,13,M
1622,-81.15000153,36.15000153,IKB,IKB,13,M
1623,-81.14579773,32.00999832,SVN,SAV,13,M
1624,-81.12419891,37.7818985,BKW,BKW,14,N
1625,-81.11579895,33.93640137,CAE,CAE,13,M
1626,-81.05280304,29.18250084,DAB,DAB,13,Florida
